DATATIME,WINDSPEED,PREPOWER,WINDDIRECTION,TEMPERATURE,HUMIDITY,PRESSURE,"ROUND(A.WS,1)","ROUND(A.POWER,0)",YD15
1/1/2022 15:30:00,5.2,19092,101,-1,27,862,1.1,39987,
1/1/2022 15:45:00,5,17670,103,-0.9,27,862,1.3,40296,
1/1/2022 16:00:00,4.9,16249,104,-0.9,27,862,1.2,40559,
1/1/2022 16:15:00,4.9,15413,105,-1,27,862,1.6,40906,
1/1/2022 16:30:00,4.8,15163,107,-1.1,27,862,1.6,40646,
1/1/2022 16:45:00,4.7,14914,108,-1.3,28,862,1.8,3256,
1/1/2022 17:00:00,4.7,14664,110,-1.4,28,862,1.7,41566,
1/1/2022 17:15:00,4.8,15186,110,-1.7,29,862,1.8,42090,
1/1/2022 17:30:00,5,16481,109,-2.1,30,862,1.9,42410,
1/1/2022 17:45:00,5.2,17775,108,-2.4,31,862,1.9,42458,
1/1/2022 18:00:00,5.3,19070,107,-2.8,32,862,1.7,42427,
1/1/2022 18:15:00,5.5,20415,107,-3.1,32,862,1.9,42557,
1/1/2022 18:30:00,5.6,21810,106,-3.4,33,862,1.8,2654,
1/1/2022 18:45:00,5.8,23205,104,-3.7,34,862,1.4,745,
1/1/2022 19:00:00,5.8,24600,103,-4,35,862,1.3,460,
1/1/2022 19:15:00,6,25498,101,-4.2,36,862,1.6,404,
1/1/2022 19:30:00,6.1,25899,99,-4.5,37,862,1.6,211,
1/1/2022 19:45:00,6.2,26299,98,-4.8,38,863,1.7,-9,
1/1/2022 20:00:00,6.3,26700,97,-5.1,39,863,1.9,101,
1/1/2022 20:15:00,6.3,26786,95,-5.4,39,863,1.9,1398,
1/1/2022 20:30:00,6.3,26559,95,-5.6,40,863,1.6,1366,
1/1/2022 20:45:00,6.3,26332,94,-5.9,40,862,1.9,2200,
1/1/2022 21:00:00,6.3,26105,93,-6.1,41,862,1.8,2011,
1/1/2022 21:15:00,6.3,25601,92,-6.3,41,862,1.5,1013,
1/1/2022 21:30:00,6.2,24822,91,-6.5,42,862,1.8,489,
1/1/2022 21:45:00,6.2,24043,90,-6.6,42,862,2.1,540,
1/1/2022 22:00:00,6.1,23264,90,-6.8,43,862,1.8,137,
1/1/2022 22:15:00,6.1,22497,90,-7,43,862,2,442,
1/1/2022 22:30:00,6.1,21744,90,-7.2,44,862,1.6,113,
1/1/2022 22:45:00,6,20991,90,-7.4,45,862,1.5,9,
1/1/2022 23:00:00,6,20238,90,-7.6,46,862,1.2,-4,
1/1/2022 23:15:00,6,19366,90,-7.8,46,862,1.1,0,
1/1/2022 23:30:00,5.9,18375,91,-8,46,862,0.9,0,
1/1/2022 23:45:00,5.9,17385,91,-8.1,47,861,0.8,0,
2/1/2022 00:00:00,1.2,1590,90,-8,47,862,1,0,
2/1/2022 00:15:00,0.8,1335,90,-8,47,862,1.4,0,
2/1/2022 00:30:00,0.5,1092,90,-7.9,47,862,1.1,0,
2/1/2022 00:45:00,0.1,849,90,-7.9,46,862,1.1,0,
2/1/2022 01:00:00,0.1,606,270,-7.8,46,862,1.5,0,
2/1/2022 01:15:00,0.5,501,270,-7.8,46,862,1.9,0,
2/1/2022 01:30:00,0.8,534,263,-7.9,47,862,2,0,
2/1/2022 01:45:00,1.1,568,260,-8,47,862,1.9,0,
2/1/2022 02:00:00,1.4,601,258,-8.1,48,862,1.7,0,
2/1/2022 02:15:00,1.8,623,257,-8.5,49,862,1.6,0,
2/1/2022 02:30:00,2.2,633,257,-9,51,862,1.9,0,
2/1/2022 02:45:00,2.5,642,256,-9.6,54,862,1.8,0,
2/1/2022 03:00:00,2.8,652,255,-10.1,56,862,1.9,0,
2/1/2022 03:15:00,3,664,255,-10.6,58,862,2.1,0,
2/1/2022 03:30:00,3.2,677,256,-11,60,862,1.9,44,
2/1/2022 03:45:00,3.3,690,254,-11.4,61,862,1.8,57,
2/1/2022 04:00:00,3.5,703,255,-11.8,63,862,1.7,59,
2/1/2022 04:15:00,3.6,713,257,-12.1,64,862,1.5,0,
2/1/2022 04:30:00,3.6,718,262,-12.4,65,862,1.8,0,
2/1/2022 04:45:00,3.6,723,265,-12.7,65,862,1.7,0,
2/1/2022 05:00:00,3.7,728,270,-13,66,862,1.5,0,
2/1/2022 05:15:00,3.7,747,272,-13.3,66,862,2,5,
2/1/2022 05:30:00,3.6,778,275,-13.4,66,862,2.1,70,
2/1/2022 05:45:00,3.5,809,278,-13.5,66,862,2.4,284,
2/1/2022 06:00:00,3.5,840,282,-13.6,66,862,2.1,645,
2/1/2022 06:15:00,3.4,881,285,-13.7,66,862,2,344,
2/1/2022 06:30:00,3.4,930,287,-13.8,66,862,1.8,171,
2/1/2022 06:45:00,3.4,980,289,-13.9,66,862,1.7,69,
2/1/2022 07:00:00,3.4,1029,291,-14,66,862,1.6,93,
2/1/2022 07:15:00,3.5,938,292,-14.1,66,862,1.6,122,
2/1/2022 07:30:00,3.5,707,292,-14.2,66,862,1.5,97,
2/1/2022 07:45:00,3.5,476,292,-14.3,65,862,1.7,137,
2/1/2022 08:00:00,3.5,245,292,-14.4,65,862,1.7,113,
2/1/2022 08:15:00,3.5,127,292,-14.5,65,862,1.5,5,
2/1/2022 08:30:00,3.5,123,292,-14.6,65,862,1.5,3,
2/1/2022 08:45:00,3.3,118,291,-14.7,66,862,1.5,69,
2/1/2022 09:00:00,3.3,114,291,-14.8,66,862,1.7,208,
2/1/2022 09:15:00,3.2,139,292,-14.7,65,862,1.8,425,
2/1/2022 09:30:00,3,193,293,-14.3,64,862,1.6,348,
2/1/2022 09:45:00,2.9,247,292,-14,63,862,1.5,244,
2/1/2022 10:00:00,2.7,301,294,-13.6,62,862,1.4,-20,
2/1/2022 10:15:00,2.5,367,296,-13,59,862,1.4,-5,
2/1/2022 10:30:00,2.5,445,297,-12.2,56,862,1.2,0,
2/1/2022 10:45:00,2.3,523,295,-11.3,53,862,1.2,0,
2/1/2022 11:00:00,2.2,601,297,-10.5,50,862,1.1,0,
2/1/2022 11:15:00,2.1,723,298,-9.7,47,862,1,0,
2/1/2022 11:30:00,2,890,297,-8.9,44,862,0.9,0,
2/1/2022 11:45:00,1.9,1056,298,-8,42,862,0.8,0,
2/1/2022 12:00:00,1.8,1223,297,-7.2,39,862,0.9,0,
2/1/2022 12:15:00,1.7,1389,295,-6.6,37,862,0.8,0,
2/1/2022 12:30:00,1.5,1554,290,-6.1,36,862,0.7,0,
2/1/2022 12:45:00,1.3,1719,279,-5.6,35,861,0.7,0,
2/1/2022 13:00:00,1.2,1884,270,-5.1,34,861,0.7,0,
2/1/2022 13:15:00,1.2,2273,265,-4.7,33,861,1,0,
2/1/2022 13:30:00,1.4,2886,253,-4.3,32,861,1.1,0,
2/1/2022 13:45:00,1.6,3499,248,-3.8,31,860,1.2,0,
2/1/2022 14:00:00,1.8,4112,241,-3.4,30,860,1.4,0,
2/1/2022 14:15:00,2.1,4682,239,-3.1,30,860,1.6,0,
2/1/2022 14:30:00,2.3,5209,236,-2.8,29,860,1.7,0,
2/1/2022 14:45:00,2.4,5736,235,-2.5,29,860,1.9,52,
2/1/2022 15:00:00,2.6,6263,233,-2.2,28,860,1.8,61,
2/1/2022 15:15:00,2.8,6672,231,-2,28,860,1.8,41,
2/1/2022 15:30:00,3,6962,230,-1.9,28,860,2,109,
2/1/2022 15:45:00,3.1,7252,230,-1.8,27,860,2.1,462,
2/1/2022 16:00:00,3.3,7542,230,-1.7,27,860,2.2,806,
2/1/2022 16:15:00,3.3,7748,229,-1.6,27,860,2.3,982,
2/1/2022 16:30:00,3.4,7870,230,-1.7,27,860,2.1,956,
2/1/2022 16:45:00,3.3,7991,231,-1.8,28,860,2.1,1035,
2/1/2022 17:00:00,3.4,8113,232,-1.9,28,860,2.1,1002,
2/1/2022 17:15:00,3.4,8029,232,-2.1,29,860,1.9,702,
2/1/2022 17:30:00,3.4,7739,234,-2.5,30,860,1.9,592,
2/1/2022 17:45:00,3.4,7449,236,-3,31,861,2.3,1056,
2/1/2022 18:00:00,3.4,7159,238,-3.4,32,861,2.4,1987,
2/1/2022 18:15:00,3.3,6773,241,-3.9,33,861,2.4,3004,
2/1/2022 18:30:00,3.2,6292,244,-4.4,34,861,2.4,3960,
2/1/2022 18:45:00,3.2,5811,248,-4.9,35,861,2.7,6419,
2/1/2022 19:00:00,3.2,5330,252,-5.4,36,861,2.3,4164,
2/1/2022 19:15:00,3.1,4873,255,-5.8,37,861,1.9,1847,
2/1/2022 19:30:00,3,4440,261,-6,38,861,1.8,593,
2/1/2022 19:45:00,3.1,4007,266,-6.3,39,862,1.8,731,
2/1/2022 20:00:00,3.1,3574,270,-6.5,40,862,1.9,825,
2/1/2022 20:15:00,3,3459,276,-6.6,40,862,1.5,-72,
2/1/2022 20:30:00,2.9,3661,284,-6.7,41,862,1.5,-39,
2/1/2022 20:45:00,2.7,3862,294,-6.8,41,862,1.5,-1,
2/1/2022 21:00:00,2.7,4064,303,-6.9,42,862,1.6,18,
2/1/2022 21:15:00,2.7,4069,309,-7.1,42,862,1.7,-4,
2/1/2022 21:30:00,2.7,3878,312,-7.3,43,862,1.6,0,
2/1/2022 21:45:00,2.5,3687,315,-7.5,44,862,1.4,0,
2/1/2022 22:00:00,2.5,3496,318,-7.7,45,862,1.3,0,
2/1/2022 22:15:00,2.3,3164,317,-7.9,45,862,1.5,0,
2/1/2022 22:30:00,2.1,2693,313,-8.1,46,862,2,57,
2/1/2022 22:45:00,1.8,2221,304,-8.2,46,862,1.9,131,
2/1/2022 23:00:00,1.6,1750,297,-8.4,47,862,1.7,41,
2/1/2022 23:15:00,1.4,1440,282,-8.3,46,862,1.7,65,
2/1/2022 23:30:00,1.3,1291,266,-7.9,45,862,2,289,
2/1/2022 23:45:00,1.3,1142,243,-7.4,43,862,2.1,1330,
3/1/2022 00:00:00,3.7,1156,251,-9.5,53,863,2.1,1248,
3/1/2022 00:15:00,4,1355,249,-9.8,55,863,2.1,1089,
3/1/2022 00:30:00,4.2,1754,252,-10.1,56,863,2.1,882,
3/1/2022 00:45:00,4.5,2152,254,-10.3,57,863,2.2,1131,
3/1/2022 01:00:00,4.7,2551,257,-10.6,58,863,2.1,1453,
3/1/2022 01:15:00,4.8,2699,258,-10.8,59,863,2,1197,
3/1/2022 01:30:00,4.8,2598,260,-11.1,60,863,2,1310,
3/1/2022 01:45:00,4.7,2496,264,-11.3,61,863,2,1082,
3/1/2022 02:00:00,4.7,2395,266,-11.6,62,863,2.3,2229,
3/1/2022 02:15:00,4.6,2216,268,-11.8,64,863,2.4,2759,
3/1/2022 02:30:00,4.5,1961,267,-12,65,863,2.6,5697,
3/1/2022 02:45:00,4.4,1706,269,-12.3,66,863,2.7,7869,
3/1/2022 03:00:00,4.3,1451,269,-12.5,67,863,2.6,6806,
3/1/2022 03:15:00,4.1,1232,269,-12.6,67,863,2.4,5569,
3/1/2022 03:30:00,4,1049,269,-12.7,67,863,2.3,4933,
3/1/2022 03:45:00,3.8,866,270,-12.7,66,863,2.1,2605,
3/1/2022 04:00:00,3.7,683,270,-12.8,66,863,1.8,1072,
3/1/2022 04:15:00,3.5,592,270,-12.8,66,863,1.7,428,
3/1/2022 04:30:00,3.4,593,270,-12.8,66,863,1.7,394,
3/1/2022 04:45:00,3.3,594,270,-12.8,65,863,1.7,499,
3/1/2022 05:00:00,3.2,595,270,-12.8,65,863,1.5,84,
3/1/2022 05:15:00,3,573,270,-12.7,65,863,1.3,5,
3/1/2022 05:30:00,2.9,526,270,-12.5,64,863,1.3,1,
3/1/2022 05:45:00,2.8,479,270,-12.3,63,863,1.4,15,
3/1/2022 06:00:00,2.7,432,270,-12.1,62,863,1.3,9,
3/1/2022 06:15:00,2.5,407,270,-11.9,62,863,1.2,-1,
3/1/2022 06:30:00,2.3,403,268,-11.7,61,863,1.3,-1,
3/1/2022 06:45:00,2.2,399,267,-11.6,61,863,1.3,0,
3/1/2022 07:00:00,2,395,264,-11.4,60,863,1.4,0,
3/1/2022 07:15:00,1.9,348,264,-11.3,60,863,1.3,0,
3/1/2022 07:30:00,1.8,257,267,-11.3,60,863,1.5,0,
3/1/2022 07:45:00,1.7,166,267,-11.4,60,864,1.6,0,
3/1/2022 08:00:00,1.6,75,270,-11.4,60,864,1.7,0,
3/1/2022 08:15:00,1.5,30,270,-11.4,60,864,1.6,0,
3/1/2022 08:30:00,1.5,29,270,-11.5,60,864,1.4,0,
3/1/2022 08:45:00,1.4,29,274,-11.6,61,864,1.5,0,
3/1/2022 09:00:00,1.4,28,278,-11.7,61,864,1.3,0,
3/1/2022 09:15:00,1.4,27,278,-11.8,61,864,1.4,0,
3/1/2022 09:30:00,1.4,24,278,-11.9,61,864,1.4,0,
3/1/2022 09:45:00,1.4,21,282,-11.9,62,864,1.5,0,
3/1/2022 10:00:00,1.4,18,282,-12,62,864,1.4,0,
3/1/2022 10:15:00,1.4,49,282,-11.8,61,864,1.3,0,
3/1/2022 10:30:00,1.5,114,278,-11.4,60,864,1.4,0,
3/1/2022 10:45:00,1.5,179,278,-10.9,58,864,1.5,0,
3/1/2022 11:00:00,1.6,244,274,-10.5,57,864,1.1,0,
3/1/2022 11:15:00,1.6,395,274,-10.1,55,864,0.7,0,
3/1/2022 11:30:00,1.7,633,270,-9.6,54,864,0.6,0,
3/1/2022 11:45:00,1.7,872,270,-9.2,52,864,0.7,0,
3/1/2022 12:00:00,1.8,1110,267,-8.7,51,864,0.8,0,
3/1/2022 12:15:00,1.8,1433,264,-8.3,50,864,1.1,0,
3/1/2022 12:30:00,1.8,1841,257,-7.9,49,864,1.3,0,
3/1/2022 12:45:00,2,2248,250,-7.5,48,863,1.4,0,
3/1/2022 13:00:00,2.1,2656,245,-7.1,47,863,1.8,0,
3/1/2022 13:15:00,2.2,3220,243,-6.7,46,863,1.8,0,
3/1/2022 13:30:00,2.4,3941,242,-6.3,45,863,2.1,0,
3/1/2022 13:45:00,2.5,4662,244,-6,44,863,2.2,109,
3/1/2022 14:00:00,2.7,5383,243,-5.6,43,863,2.4,424,
3/1/2022 14:15:00,2.8,5918,244,-5.2,42,863,2.2,583,
3/1/2022 14:30:00,2.9,6268,245,-4.9,41,863,2.5,1318,
3/1/2022 14:45:00,2.9,6619,245,-4.6,40,862,2.5,2737,
3/1/2022 15:00:00,3,6969,246,-4.3,39,862,2.7,4610,
3/1/2022 15:15:00,3,7329,246,-4.1,39,862,2.4,4108,
3/1/2022 15:30:00,3.1,7700,245,-4,39,862,2.2,2965,
3/1/2022 15:45:00,3.1,8070,243,-3.8,38,862,2.2,2450,
3/1/2022 16:00:00,3.3,8441,243,-3.7,38,862,2,1656,
3/1/2022 16:15:00,3.3,8527,243,-3.6,38,862,1.7,507,
3/1/2022 16:30:00,3.3,8329,241,-3.7,38,862,1.8,578,
3/1/2022 16:45:00,3.2,8130,240,-3.7,38,862,1.8,622,
3/1/2022 17:00:00,3.3,7932,239,-3.8,38,862,1.7,300,
3/1/2022 17:15:00,3.3,7588,239,-4,39,862,1.5,-18,
3/1/2022 17:30:00,3.1,7098,239,-4.3,40,862,1.5,4,
3/1/2022 17:45:00,3,6609,240,-4.7,41,862,1.6,8,
3/1/2022 18:00:00,2.9,6119,241,-5,42,862,1.6,1,
3/1/2022 18:15:00,2.7,5425,243,-5.4,44,862,1.5,0,
3/1/2022 18:30:00,2.4,4528,248,-5.8,46,862,1.4,0,
3/1/2022 18:45:00,2.2,3630,254,-6.2,47,862,1.3,0,
3/1/2022 19:00:00,1.9,2733,261,-6.6,49,862,1.2,0,
3/1/2022 19:15:00,1.7,2244,267,-6.7,50,862,1.2,0,
3/1/2022 19:30:00,1.4,2163,270,-6.6,49,862,1.2,0,
3/1/2022 19:45:00,1.1,2082,285,-6.4,48,862,1.2,0,
3/1/2022 20:00:00,0.9,2001,302,-6.3,47,862,1.2,0,
3/1/2022 20:15:00,0.8,1973,320,-6.5,48,862,1.1,0,
3/1/2022 20:30:00,0.7,1998,344,-7.1,51,862,1,0,
3/1/2022 20:45:00,0.8,2023,0,-7.8,53,861,0.9,0,
3/1/2022 21:00:00,0.9,2048,18,-8.4,56,861,0.7,0,
3/1/2022 21:15:00,1,2243,29,-8.7,57,861,0.5,0,
3/1/2022 21:30:00,1.1,2609,38,-8.8,57,861,0.6,0,
3/1/2022 21:45:00,1.3,2974,48,-8.9,58,861,0.8,0,
3/1/2022 22:00:00,1.5,3340,53,-9,58,861,1.1,0,
3/1/2022 22:15:00,1.7,3681,57,-9.1,58,861,1.3,0,
3/1/2022 22:30:00,1.8,3996,61,-9.3,59,861,1.6,0,
3/1/2022 22:45:00,1.9,4311,62,-9.4,59,860,2,0,
3/1/2022 23:00:00,2.1,4626,65,-9.6,60,860,2.5,0,
3/1/2022 23:15:00,2.2,4886,69,-9.7,60,860,2.8,1905,
3/1/2022 23:30:00,2.4,5093,73,-9.8,60,860,2.3,4954,
3/1/2022 23:45:00,2.5,5299,76,-9.9,60,860,2.5,11187,
4/1/2022 00:00:00,2.9,5192,84,-9.5,58,860,1.9,11242,
4/1/2022 00:15:00,3.2,5854,86,-9.6,58,860,1.9,11189,
4/1/2022 00:30:00,3.6,6987,88,-9.7,58,860,1.7,11635,
4/1/2022 00:45:00,4.1,8119,90,-9.8,59,860,1.7,11721,
4/1/2022 01:00:00,4.5,9252,90,-9.9,59,860,1.9,11908,
4/1/2022 01:15:00,5,11450,92,-10,59,860,1.6,12275,
4/1/2022 01:30:00,5.5,14714,93,-10,59,860,1.5,12372,
4/1/2022 01:45:00,6,17977,94,-10.1,60,859,1.2,12467,
4/1/2022 02:00:00,6.5,21241,94,-10.1,60,859,1,12922,
4/1/2022 02:15:00,7,25269,94,-10.1,60,859,1,13176,
4/1/2022 02:30:00,7.4,30060,93,-10.1,60,859,1,13089,
4/1/2022 02:45:00,7.7,34851,92,-10.1,59,858,1,12944,
4/1/2022 03:00:00,8.1,39642,91,-10.1,59,858,1,12178,
4/1/2022 03:15:00,8.4,44705,91,-10,59,858,1,11898,
4/1/2022 03:30:00,8.7,50038,91,-9.9,58,858,1,11341,
4/1/2022 03:45:00,8.9,55371,90,-9.8,57,857,1,10884,
4/1/2022 04:00:00,9.2,60704,89,-9.7,56,857,1,10699,
4/1/2022 04:15:00,9.4,66336,89,-9.7,55,857,1,10728,
4/1/2022 04:30:00,9.6,72265,88,-9.7,54,857,1,10873,
4/1/2022 04:45:00,9.7,78194,87,-9.7,53,857,1,10974,
4/1/2022 05:00:00,9.9,84123,87,-9.7,52,857,1,10994,
4/1/2022 05:15:00,10.1,89102,85,-9.7,52,857,1,10880,
4/1/2022 05:30:00,10.2,93130,85,-9.6,51,857,1,10843,
4/1/2022 05:45:00,10.3,97158,84,-9.6,50,856,1,11051,
4/1/2022 06:00:00,10.5,101186,84,-9.5,49,856,1,10885,
4/1/2022 06:15:00,10.7,104877,84,-9.5,48,856,1,10801,
4/1/2022 06:30:00,10.8,108232,84,-9.4,47,856,1,10779,
4/1/2022 06:45:00,10.9,111586,84,-9.3,46,856,1,10707,
4/1/2022 07:00:00,11,114941,84,-9.2,45,856,1,10620,
4/1/2022 07:15:00,11.1,118117,84,-9.2,44,856,1,10616,
4/1/2022 07:30:00,11.2,121114,84,-9.1,43,856,1,10462,
4/1/2022 07:45:00,11.3,124112,85,-9.1,42,856,1,10309,
4/1/2022 08:00:00,11.4,127109,85,-9,41,856,1,10477,
4/1/2022 08:15:00,11.6,130563,85,-9,41,856,1,10558,
4/1/2022 08:30:00,11.8,134474,85,-9,40,856,1,10568,
4/1/2022 08:45:00,11.9,138385,84,-8.9,40,856,1,10528,
4/1/2022 09:00:00,12,142296,84,-8.9,39,856,1,10763,
4/1/2022 09:15:00,12,145545,84,-8.7,39,856,1,10562,
4/1/2022 09:30:00,12.1,148133,83,-8.4,38,856,1,10348,
4/1/2022 09:45:00,12.1,150722,83,-8.1,37,856,1,10093,
4/1/2022 10:00:00,12.2,153310,83,-7.8,36,856,1,9964,
4/1/2022 10:15:00,12.2,155233,83,-7.3,35,856,1,10020,
4/1/2022 10:30:00,12.2,156490,83,-6.6,34,856,1,10468,
4/1/2022 10:45:00,12.3,157748,84,-6,32,856,1,10579,
4/1/2022 11:00:00,12.3,159005,84,-5.3,31,856,1,11008,
4/1/2022 11:15:00,12.1,157477,85,-4.7,29,856,1,10986,
4/1/2022 11:30:00,11.6,153163,85,-4,28,856,1,10755,
4/1/2022 11:45:00,11.3,148849,85,-3.4,27,855,1,11222,
4/1/2022 12:00:00,10.9,144535,86,-2.7,26,855,1,11495,
4/1/2022 12:15:00,10.6,140481,87,-2.2,25,855,1.1,11785,
4/1/2022 12:30:00,10.4,136688,87,-1.8,24,855,1,11925,
4/1/2022 12:45:00,10.3,132894,88,-1.4,23,855,1,12240,
4/1/2022 13:00:00,10.1,129101,89,-1,22,855,1,12343,
4/1/2022 13:15:00,10,126488,90,-0.6,22,855,1,12360,
4/1/2022 13:30:00,10,125055,90,-0.3,21,855,1,12276,
4/1/2022 13:45:00,9.9,123622,91,0,21,854,1,12527,
4/1/2022 14:00:00,9.9,122189,91,0.3,20,854,1,12576,
4/1/2022 14:15:00,9.9,121137,92,0.5,20,854,1,12450,
4/1/2022 14:30:00,9.9,120464,93,0.7,20,854,1,12683,
4/1/2022 14:45:00,9.8,119791,94,0.9,19,854,1,12512,
4/1/2022 15:00:00,9.8,119118,94,1.1,19,854,1,12579,
4/1/2022 15:15:00,9.8,118786,94,1.2,19,854,1,13023,
4/1/2022 15:30:00,9.8,118794,95,1.3,19,854,1.1,13363,
4/1/2022 15:45:00,9.8,118801,95,1.3,19,854,1,13611,
4/1/2022 16:00:00,9.8,118809,95,1.4,19,854,1,13848,
4/1/2022 16:15:00,9.9,119737,95,1.3,19,854,1,14211,
4/1/2022 16:30:00,10,121585,96,1.1,19,854,1,14411,
4/1/2022 16:45:00,10.2,123433,96,0.8,20,854,1,14957,
4/1/2022 17:00:00,10.3,125281,97,0.6,20,854,1,15051,
4/1/2022 17:15:00,10.5,129097,97,0.3,20,854,1,15259,
4/1/2022 17:30:00,10.8,134882,96,-0.2,21,854,1,15298,
4/1/2022 17:45:00,11.1,140667,96,-0.7,22,854,1,14526,
4/1/2022 18:00:00,11.4,146452,96,-1.2,23,854,1.1,14595,
4/1/2022 18:15:00,11.5,149703,96,-1.6,23,854,1,14126,
4/1/2022 18:30:00,11.5,150420,95,-1.9,24,854,1,14097,
4/1/2022 18:45:00,11.5,151138,94,-2.3,24,855,1,13991,
4/1/2022 19:00:00,11.6,151855,93,-2.6,25,855,1,13367,
4/1/2022 19:15:00,11.6,151417,92,-2.9,25,855,1,13046,
4/1/2022 19:30:00,11.5,149823,91,-3,26,855,1,12706,
4/1/2022 19:45:00,11.4,148228,90,-3.2,26,855,1,11151,
4/1/2022 20:00:00,11.3,146634,88,-3.3,27,855,1,10906,
4/1/2022 20:15:00,11.3,145513,87,-3.5,27,855,1,11390,
4/1/2022 20:30:00,11.3,144864,86,-3.7,28,855,1,11618,
